from,to,relationship
uvdl,null,1
lk,null,1
nr,null,1
sw,null,1
cs,null,1
cl,eins,1
nr,eins,1
ks,eins,1
lm,eins,1
kd,eins,1
el,eins,1
ab,zwei,1
ft,zwei,1
am,zwei,1
agl,zwei,1
er,zwei,1
rh,drei,1
lk,drei,1
cm,drei,1
kp,drei,1
rk,drei,1
cla,vier,1
agl,vier,1
sb,vier,1
ch,vier,1
mw,vier,1
os,fuenf,1
uvdl,cdu,2
lk,spd,2
nr,cdu,2
uvdl,nr,3
nr,uvdl,3
sw,linke,2
cl,fdp,2
el,evp,2
ab,gruene,2
ft,pvda,2
agl,fdp,2
agl,cl,3
cl,agl,3
rh,gruene,2
rh,ab,3
ab,rh,3
rk,cdu,2
rk,uvdl,3
rk,nr,3
uvdl,rk,3
nr,rk,3
cla,spd,2
cla,lk,3
lk,cla,3
os,spd,2
os,lk,3
lk,os,3
os,cla,3
cla,os,3